lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
5.06,47.66,17.2,0.0,0,1.43,2026-09-23T18:47:31Z
5.1,47.66,17.3,0.0,0,1.21,2026-09-23T18:47:31Z
5.16,47.66,18.0,0.0,0,1.63,2026-09-23T18:47:31Z
5.2,47.66,18.0,0.0,0,1.75,2026-09-23T18:47:31Z
5.26,47.66,18.5,0.0,3,2.19,2026-09-23T18:47:31Z
5.3,47.66,18.7,0.0,3,1.3,2026-09-23T18:47:31Z
5.36,47.66,19.2,0.0,6,0.63,2026-09-23T18:47:31Z
5.4,47.66,19.6,0.0,19,0.78,2026-09-23T18:47:31Z
5.44,47.66,19.0,0.0,23,1.33,2026-09-23T18:47:31Z
5.5,47.66,19.3,0.0,74,1.0,2026-09-23T18:47:31Z
5.56,47.66,19.3,0.0,62,0.81,2026-09-23T18:47:31Z
5.6,47.66,19.3,0.0,51,0.94,2026-09-23T18:47:31Z
5.66,47.66,18.1,0.0,50,1.13,2026-09-23T18:47:31Z
5.7,47.66,18.4,0.0,29,1.27,2026-09-23T18:47:31Z
5.76,47.66,18.5,0.0,9,1.12,2026-09-23T18:47:31Z
5.8,47.66,18.8,0.0,0,0.61,2026-09-23T18:47:31Z
5.86,47.66,18.2,0.0,0,0.7,2026-09-23T18:47:31Z
5.9,47.66,18.1,0.0,8,0.6,2026-09-23T18:47:31Z
5.94,47.66,18.5,0.0,16,0.63,2026-09-23T18:47:31Z
4.7,47.7,18.6,0.0,7,1.26,2026-09-23T18:47:31Z
4.76,47.7,18.0,0.0,5,1.08,2026-09-23T18:47:31Z
4.8,47.7,17.9,0.0,7,0.73,2026-09-23T18:47:31Z
4.86,47.7,18.1,0.0,9,0.7,2026-09-23T18:47:31Z
4.9,47.7,18.5,0.0,12,0.81,2026-09-23T18:47:31Z
4.94,47.7,18.2,0.0,8,0.81,2026-09-23T18:47:31Z
5.0,47.7,17.7,0.0,8,1.1,2026-09-23T18:47:31Z
5.06,47.7,18.4,0.0,0,1.41,2026-09-23T18:47:31Z
5.1,47.7,17.5,0.0,0,1.5,2026-09-23T18:47:31Z
5.16,47.7,18.4,0.0,5,1.71,2026-09-23T18:47:31Z
5.2,47.7,18.1,0.0,7,2.33,2026-09-23T18:47:31Z
5.26,47.7,19.1,0.0,2,2.05,2026-09-23T18:47:31Z
5.3,47.7,18.7,0.0,6,1.64,2026-09-23T18:47:31Z
5.36,47.7,18.0,0.0,4,0.81,2026-09-23T18:47:31Z
5.4,47.7,18.4,0.0,20,0.64,2026-09-23T18:47:31Z
5.44,47.7,17.4,0.0,71,0.85,2026-09-23T18:47:31Z
5.5,47.7,17.2,0.0,75,0.32,2026-09-23T18:47:31Z
5.56,47.7,18.2,0.0,75,0.92,2026-09-23T18:47:31Z
5.6,47.7,17.0,0.0,75,1.12,2026-09-23T18:47:31Z
5.66,47.7,17.4,0.0,79,1.06,2026-09-23T18:47:31Z
5.7,47.7,19.0,0.0,40,0.99,2026-09-23T18:47:31Z
5.76,47.7,18.5,0.0,38,1.46,2026-09-23T18:47:31Z
5.8,47.7,17.7,0.0,20,1.03,2026-09-23T18:47:31Z
5.86,47.7,18.0,0.0,1,0.67,2026-09-23T18:47:31Z
5.9,47.7,18.7,0.0,6,1.12,2026-09-23T18:47:31Z
5.94,47.7,19.3,0.0,13,1.0,2026-09-23T18:47:31Z
4.7,47.74,18.0,0.0,10,1.14,2026-09-23T18:47:31Z
