lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
0.375,41.5625,23.0,0.0,31,1.28,2026-09-15T23:22:07Z
0.625,41.5625,22.8,0.0,8,1.08,2026-09-15T23:22:07Z
0.875,41.5625,21.2,0.0,0,1.98,2026-09-15T23:22:07Z
1.125,41.5625,22.2,0.0,26,2.52,2026-09-15T23:22:07Z
1.375,41.5625,19.5,0.0,35,1.66,2026-09-15T23:22:07Z
1.625,41.5625,19.9,0.0,48,0.81,2026-09-15T23:22:07Z
1.875,41.5625,23.5,0.0,65,0.7,2026-09-15T23:22:07Z
2.125,41.5625,20.8,0.0,70,1.41,2026-09-15T23:22:07Z
2.375,41.5625,21.2,0.0,55,1.17,2026-09-15T23:22:07Z
2.625,41.625,23.7,0.0,44,1.89,2026-09-15T23:22:07Z
2.875,41.5625,26.6,0.0,34,3.01,2026-09-15T23:22:07Z
3.125,41.5625,26.8,0.0,74,3.14,2026-09-15T23:22:07Z
3.375,41.5625,25.9,0.0,63,2.62,2026-09-15T23:22:07Z
3.625,41.5625,25.0,0.0,16,0.78,2026-09-15T23:22:07Z
3.875,41.5625,24.5,0.0,28,1.9,2026-09-15T23:22:07Z
4.125,41.5625,24.9,0.0,12,2.77,2026-09-15T23:22:07Z
4.375,41.5625,25.3,0.0,3,3.16,2026-09-15T23:22:07Z
4.625,41.5625,25.4,0.0,1,3.49,2026-09-15T23:22:07Z
4.875,41.5625,24.8,0.0,8,3.45,2026-09-15T23:22:07Z
5.125,41.5625,24.6,0.0,27,3.5,2026-09-15T23:22:07Z
5.375,41.5625,24.9,0.0,14,3.36,2026-09-15T23:22:07Z
5.625,41.5625,25.0,0.0,15,3.24,2026-09-15T23:22:07Z
5.875,41.5625,25.2,0.0,6,3.14,2026-09-15T23:22:07Z
6.125,41.5625,25.2,0.0,2,3.06,2026-09-15T23:22:07Z
6.375,41.5625,25.3,0.0,2,2.7,2026-09-15T23:22:07Z
6.625,41.5625,25.3,0.0,0,2.39,2026-09-15T23:22:07Z
6.875,41.5625,25.2,0.0,0,1.97,2026-09-15T23:22:07Z
7.125,41.5625,25.0,0.0,1,1.57,2026-09-15T23:22:07Z
7.375,41.5625,24.9,0.0,3,1.27,2026-09-15T23:22:07Z
7.625,41.5625,25.0,0.0,2,1.21,2026-09-15T23:22:07Z
7.875,41.5625,25.1,0.0,2,1.2,2026-09-15T23:22:07Z
8.125,41.5625,25.3,0.0,0,1.24,2026-09-15T23:22:07Z
8.375,41.5625,25.4,0.0,0,1.44,2026-09-15T23:22:07Z
8.625,41.5625,25.9,0.0,2,1.56,2026-09-15T23:22:07Z
8.875,41.5625,18.6,0.0,6,2.41,2026-09-15T23:22:07Z
9.125,41.625,17.3,0.0,1,1.7,2026-09-15T23:22:07Z
9.3125,41.625,21.4,0.0,1,1.25,2026-09-15T23:22:07Z
9.625,41.5625,25.5,0.0,0,2.62,2026-09-15T23:22:07Z
-5.125,41.8125,16.1,0.0,35,4.88,2026-09-15T23:22:07Z
-4.875,41.8125,15.4,0.0,47,5.69,2026-09-15T23:22:07Z
